Pays;Access_to_improved_sanitation_2015;Access_to_improved_water_2015;Population_undernourished_2015;Dependency_ratio_2018;Extremepoverty_2011
Republic of Moldova;76.4;88.4;5;37.46007576;0.23
Romania;79.1;100;5;50.44311491;0
Russia;72.2;96.9;5;48.00370395;0
Rwanda;61.6;76.1;31.6;74.98462725;63.02
Saudi Arabia;100;97;5;39.48057188;0
Senegal;47.6;78.5;10;84.31718857;34.06
Serbia;96.4;99.2;5;52.0333398;0.21
Seychelles;98.4;95.7;8.3;45.47983101;0
Sierra Leone;13.3;62.6;22.3;79.49179739;56.63
Singapore;100;100;5;39.51313822;0
Slovakia;98.8;100;5;45.07690365;0.3
Slovenia;99.1;99.5;5;53.28498597;0
Solomon Islands;29.8;80.8;11.3;72.43047797;17.95
South Africa;66.4;93.2;5;52.11069182;9.42
Spain;99.9;100;5;52.22552344;0
Sri Lanka;95.1;95.6;22;51.8834564;4.11
Sudan;23.6;55.5;38.9;78.77547992;19.8
Suriname;79.2;94.8;8;49.80727617;15.5
Swaziland;57.5;74.1;26.8;67.17025105;40.63
Sweden;99.3;100;5;60.63786792;0
Switzerland;99.9;100;5;50.50240849;0
Syrian Arab Republic;95.7;90.1;6;67.43006204;0
Tajikistan;95;73.8;33.2;63.69872204;6.56
Thailand;93;97.8;7.4;40.49360746;0.38
The former Yugoslav Republic of Macedonia;90.9;99.4;5;43.39317922;0.6
Timor-Leste;40.6;71.9;26.9;89.08163646;37.4
Togo;11.6;63.1;11.4;79.06874919;52.46
Tonga;91;99.6;5;69.96952977;9.1
Trinidad and Tobago;91.5;95.1;7.4;44.66269827;4.2
Tunisia;91.6;97.7;5;47.73520748;1.06
Turkey;94.9;100;5;49.10733819;0.08
Turkmenistan;95.7;90.1;5;54.44267911;24.8
Uganda;19.1;79;25.5;98.30806267;37.78
Ukraine;95.9;96.2;5;48.27090058;0.02
United Arab Emirates;97.6;99.6;5;17.78066337;0
United Kingdom;99.2;100;5;57.4229964;0
United Republic of Tanzania;15.6;55.6;32.1;91.55883088;43.48
United States;100;99.2;5;52.97460606;0
Uruguay;96.4;99.7;5;55.43201081;0.31
Uzbekistan;100;87.3;5;48.49877915;46.3
Vanuatu;57.9;94.5;6.4;67.48306171;9.1
Venezuela;94.4;93.1;5;51.73638706;6.63
Viet Nam;78;97.6;11;43.78453508;2.44
Yemen;53.3;54.89762704;26.1;73.93639555;17.5
Zambia;43.9;65.4;47.8;88.41420974;74.45
Zimbabwe;36.8;76.9;33.4;77.94868641;49.14
